,rat,sess,sh,clu,fr1,fr2,type,fr_recording,N_spikes_recording,fr_burst0,fr_notburst0,N_spikes_burst0,mwu_fr_burst0_notburst_p,fr_burst1,fr_notburst1,N_spikes_burst1,mwu_fr_burst1_notburst_p,fr_burst2,fr_notburst2,N_spikes_burst2,mwu_fr_burst2_notburst_p,fr_burst3,fr_notburst3,N_spikes_burst3,mwu_fr_burst3_notburst_p,sfc_magnitude_recording,sfc_phase_recording,sfc_magnitude_cycles,sfc_phase_cycles,sfc_magnitude_cycles_hilbert,sfc_phase_cycles_hilbert,norm_fr_diff_burst0,norm_fr_diff_burst1,norm_fr_diff_burst2,norm_fr_diff_burst3,sfc_phase_cycles_2pi
1141,pin01,11-05_0-24-7,2,5,0.260521775830842,0.275772301284276,p,0.04771658011413924,27,0.15441456417406227,0.009594825538176217,23,4.271283049367381e-05,0.18561504574720433,0.03786956475710697,7,0.05789022058858434,0.12966496313439316,0.0027372941016996586,26,2.7826573727374607e-05,0.2811429854600573,0.04169586748139353,4,0.015128898719851859,,,,,,,0.8829966314122532,0.6610991273926988,0.9586518514285047,0.7416923824286082,
1142,pin01,11-05_0-24-7,2,8,0.159995434208919,0.17181534189517494,p,0.00706912297987248,4,0.013427353406440197,0.004797412769088108,2,0.2290407493422701,0.02651643510674348,0.0056804347135660455,1,0.12226973586801626,0.019948455866829716,0.0,4,0.00945192374913142,0.0,0.007251455214155397,0,0.35555375498902286,,,,,,,0.47352819532686935,0.647143666743475,1.0,-1.0,
1143,pin01,11-05_0-24-7,2,9,0.989048991970262,1.06473446719889,p,0.5849699265844477,331,1.9335388905273885,0.10314437453539432,288,1.855685235722069e-41,1.1402067095899695,0.5453217325023404,43,0.1471165114104107,1.5360311017458883,0.06295776433909214,308,8.391052612012508e-35,2.1085723909504295,0.5456720048651936,30,0.02230770198045152,0.09792675797072489,1.1556466143888235,0.11058190937203859,1.1166500551139154,0.028594321163589495,-0.6911480433944708,0.8987133872951867,0.3529367777082278,0.9212530297434276,0.5888306248471787,1.1166500551139154
1144,pin01,11-05_0-24-7,2,10,1.00056778431907,1.05206525511975,p,0.5973408917992246,338,1.8126927098694263,0.16311203414899567,270,1.505691130101432e-38,1.0341409691629957,0.5661499931187491,39,0.00579050105743292,1.451250164311862,0.12865282277988394,291,2.2901145164362537e-31,1.4057149273002862,0.576490689525354,20,0.18892915644337693,0.0862260734643426,0.7736610228091431,0.049809927228183545,0.5293487744321875,0.04862066232244034,-2.5122554586546806,0.8348905329407642,0.2924411791821722,0.8371383257946673,0.4183341176799182,0.5293487744321875
1145,pin01,11-05_0-24-7,2,11,0.555128755150187,0.5928497049635539,p,0.15375342481222642,87,0.4296753090060863,0.05517024684451325,64,1.6563401893187807e-09,0.4242629617078957,0.13443695488772975,16,0.001171870122753799,0.36904643353634975,0.03558482332209556,74,1.2125904885527346e-09,0.14057149273002864,0.1540934233008022,2,0.37574933540876754,,,,,,,0.772421356950569,0.5187507608488431,0.824112335767751,-0.04588917728284542,
1146,pin01,11-05_0-24-7,3,2,0.208806563122087,0.205310656022214,p,0.19441323116710052,110,0.44652866472275105,0.08998149342287828,74,2.7321607248049336e-07,0.7537930480854138,0.152089407191448,30,2.0769459021281682e-07,0.4208794667124424,0.046720340327079696,94,3.5070850383414857e-10,0.8352234823215476,0.17484965129574834,14,0.0074830773173480735,,,,,,,0.6645674194356862,0.664218229847568,0.8001695483029538,0.6537881357767176,
1147,pin01,11-05_0-24-7,3,3,0.27814204565973105,0.291218326969802,p,0.12901968977453035,73,0.33187941296961226,0.04499074671143914,55,2.1860659762251322e-08,0.603034438468331,0.0931547619047619,24,2.1739836147649952e-05,0.2910336737905187,0.023360170163539848,65,3.2727792178696936e-10,0.8352234823215476,0.107459681525512,14,0.0004739169887353231,,,,,,,0.7612400687307521,0.7323866504828297,0.8513954989083475,0.7720131521454727,
1148,pin01,11-05_0-24-7,3,4,0.46875195301156,0.4935786185352311,p,0.1873436591246605,106,0.41032363785333875,0.09498046527970486,68,8.1134190678508e-12,0.4774022637874288,0.16539723032069972,19,7.537180135691402e-05,0.4208794667124424,0.03504025524530977,94,1.359362847863703e-15,0.1789764604974745,0.18759910503606333,3,0.3046027953328234,,,,,,,0.6240661229909028,0.48538469044632615,0.8462876091657346,-0.023522147544228347,
1149,pin01,11-05_0-24-7,3,5,0.6174517000751669,0.660013884068032,p,0.9773683348673327,553,2.2447116659035595,0.4524069530428047,372,5.720442115414101e-28,2.9146664525969332,0.8307883867832847,116,1.1975118495062229e-08,2.032758275398392,0.28908210577380566,454,2.1076406478887136e-33,4.414752692271038,0.872426905944411,74,2.4984376077146437e-07,0.032770161830647834,1.6755333696366361,0.04561485947597354,-0.5327870252840435,0.03815270911932061,1.380993490968806,0.6645257276674479,0.5563751680846538,0.7509888206631494,0.6699840095317071,5.750398281895543
1150,pin01,11-05_0-24-7,3,6,0.197326352154987,0.208781673030198,p,0.16790233600795046,95,0.4344603224329469,0.05748817635350557,72,8.405738484343987e-15,0.4774022637874288,0.1444849368318756,19,8.826849108347148e-06,0.3447629674133837,0.05256038286796467,77,8.253189354582968e-12,0.29829410082912416,0.16392154808976406,5,0.03623654795193093,,,,,,,0.7662837614290177,0.5353339425928345,0.735427667008515,0.2907139839459231,
1151,pin01,11-05_0-24-7,3,7,1.35653082867841,1.44186046511628,p,0.10604358063660028,60,0.2534351880858857,0.04499074671143914,42,1.0986939038703034e-05,0.22613791442562414,0.0969569970845481,9,0.2514089921526158,0.2014848510857437,0.04380031905663721,45,0.00044606514489242325,0.11931764033164967,0.10563833099118129,2,0.31454194658276485,,,,,,,0.6984796462680464,0.39982343496922873,0.6428620692297671,0.06080882965688163,
1152,pin01,11-05_0-24-7,3,8,6.7857919029648,7.15550156195765,i,2.8013179218168576,1585,7.192732004723234,0.9822979698664213,1192,3.370665223756847e-210,9.573171710684756,2.2889455782312926,381,8.58404878500378e-80,6.156481560953281,0.6132044667929211,1375,1.4159526342600934e-199,10.738587629848471,2.5589975007346504,180,3.121929931673062e-44,0.31540491087830086,1.588848106375462,0.31030469880988587,1.5318769580725484,0.28287708378761794,1.5117004589020153,0.759683335004352,0.6140747014244952,0.818838136870855,0.6151184631487396,1.5318769580725484
1153,pin01,11-05_0-24-7,3,9,0.47942181624672,0.499479347448803,n,0.2509698075066207,142,0.6154854567800082,0.09997943713653143,102,2.648364943556587e-19,0.9548045275748576,0.19771622934888242,38,5.616646811180522e-10,0.5328154950934111,0.06716048922017706,119,9.390606065378557e-19,1.4914705041456209,0.2130980125166933,25,4.6638106980150605e-11,0.344138285165348,-1.7298250269923425,0.42389789994136784,-1.7084066937008782,0.4579184370057032,-1.7734247278305229,0.7205189577108888,0.6568977553573642,0.7761227416560247,0.749968381518677,4.574778613478708
1154,pin01,11-05_0-24-7,3,10,0.809647242534277,0.8670600485942379,p,0.15906537095490042,90,0.4163578089982408,0.052489204496678994,69,6.870122417805869e-15,0.4271493939150678,0.13878158406219632,17,6.282512028566983e-05,0.3268532028724287,0.04964036159752218,73,9.289098548452281e-11,0.357952920994949,0.1529934448837798,6,0.059211801620050686,,,,,,,0.7760924012060589,0.5095459006035475,0.7363016726864444,0.40113696817997446,
1155,pin01,11-05_0-24-7,3,11,1.57222072786688,1.68257549461992,p,0.8748595402519523,495,2.1059257295708123,0.3649249455483397,349,4.162313446224643e-31,1.8091033154049931,0.8041727405247813,72,1.1483605679213777e-05,1.840228306583126,0.24528178671716844,411,1.211208746374322e-31,2.2670351663013437,0.8323571941891352,38,4.3768565959824414e-05,0.2600066246666929,1.3306888726998924,0.26238927457487254,1.4003244264504873,0.2178002013487553,1.4242646156290562,0.7046159452507247,0.3845481890824078,0.7647752580961975,0.46289007819751177,1.4003244264504873
1156,pin01,11-05_0-24-7,3,12,13.6047805473435,14.3934397778549,i,7.66518348701559,4337,19.91879894932164,2.5894674218361637,3301,0.0,23.870113189371438,6.43908527696793,950,4.888055504164835e-102,16.785926816010072,1.716972507020179,3749,0.0,26.13056323263128,7.101445733355446,438,1.8750802362097715e-48,0.396065894730566,1.5579352742782786,0.4180572853786064,1.5106544953382712,0.37618615468389915,1.4087744765344314,0.7699096519353156,0.5751068584595521,0.8144104362192479,0.572614117875098,1.5106544953382712
1157,pin01,11-05_0-24-7,3,13,20.0270500607177,21.3018049288442,i,10.045861872307267,5684,25.57281731209485,3.6117571665571977,4238,0.0,32.46335393754516,8.347807337220603,1292,9.935953836119861e-122,21.849912739965095,2.3447770801653123,4880,0.0,32.21576288954541,9.367205798062852,540,9.228732335259754e-53,0.21077913409638135,1.3985348554905095,0.22563341956166333,1.3391510538623588,0.18412521112043137,1.3876479610872816,0.7524886189997988,0.5909056700926473,0.8061742392568789,0.5494691171073468,1.3391510538623588
1158,pin01,11-05_0-24-7,3,14,0.7568981255682949,0.809614717112114,p,0.1131131526790403,64,0.28964021495529796,0.03999177485461257,48,2.1700163502591987e-08,0.6281608734045115,0.0741435860058309,25,1.496956289228652e-07,0.23282693903241497,0.03504025524530977,52,1.260890348840813e-06,1.1335175831506719,0.08196077404488203,19,8.386298843227297e-09,,,,,,,0.7573550135247813,0.7888562858675789,0.7383759116916718,0.8651382419774413,
1159,vvp01,2006-4-10_21-2-40,1,2,0.428717131701475,0.4346238130021911,p,0.7800226553196432,858,1.2908978618004043,0.13383657728330495,793,1.8026615136694844e-29,2.9840892942266355,0.586452992431932,265,6.613996773369483e-33,1.0394754531749184,0.15232013347998916,809,3.689171692402376e-15,2.189768255356362,0.7586329415875398,36,0.0015749495813803134,0.30687067200708634,2.9454165609639835,0.3213118997946679,3.0504090756349163,0.23818782592502033,-2.7354618002850097,0.8121241775142609,0.67150480495737,0.7443854714926135,0.4853936822615026,3.0504090756349163
