,rat,sess,sh,Fs,elec,burst_type,amp_mean,period_mean,rdsym_mean,ptsym_mean,cycling_frac,N_cycles_all,N_cycles_burst,N_seconds,corr_volt_amp_period_r,corr_volt_amp_period_p,corr_volt_amp_time_rdsym_r,corr_volt_amp_time_rdsym_p,corr_volt_amp_time_ptsym_r,corr_volt_amp_time_ptsym_p,corr_period_time_rdsym_r,corr_period_time_rdsym_p,corr_period_time_ptsym_r,corr_period_time_ptsym_p,corr_time_rdsym_time_ptsym_r,corr_time_rdsym_time_ptsym_p,mv_amp_mean,ms_period_mean
512,i01,i01_maze15_MS.002,10,1250,0,0,4840.5279583374495,171.33878937615813,0.4119764687488743,0.45521499308734553,0.6164957434963446,10232,6476,1439.8672,0.0331619916430925,0.007610381126949878,-0.057090436379529486,4.283391422787355e-06,0.03054295747998281,0.013971292783820675,0.021131244080295,0.08906157171803114,0.06247323397580003,4.869355401844048e-07,-0.1465386898479631,2.0451892739703922e-32,4.840527958337449,137.0710315009265
513,i01,i01_maze15_MS.002,10,1250,0,1,5223.942454707429,169.99688715953306,0.39481129067618237,0.45462174710776526,0.1213700819075537,10232,1285,1439.8672,-0.023403248100430072,0.4019003224814941,-0.036632853006054594,0.18940658954082246,0.022997750316521837,0.4101074172515331,0.011122572991412389,0.6903839851616071,0.07911178192354894,0.004545406440652652,-0.14894379332197785,8.143403685892727e-08,5.223942454707428,135.99750972762644
514,i01,i01_maze15_MS.002,10,1250,0,2,4804.038576429359,172.7650123746255,0.4197221411608715,0.4633452827424785,0.7369107373235532,10232,7677,1439.8672,0.039319866265032734,0.0005691211955626975,-0.05975529018772304,1.6101407512409797e-07,0.018804959670932514,0.0994471909609167,0.030882014408791174,0.006809078778442412,0.03632039158578673,0.0014582316404050091,-0.12715210612377104,4.8572358375061054e-29,4.804038576429359,138.21200989970043
515,i01,i01_maze15_MS.002,10,1250,0,3,5448.773616555439,165.44767441860466,0.40355518699590354,0.4547416969859399,0.01581090256101396,10232,172,1439.8672,-0.05160670292709397,0.5013745792943369,-0.06087198511462196,0.42763610831857546,0.03066956197295526,0.6896069453688939,0.014707773303688654,0.8481382173023896,0.07329375645688432,0.3393171904364999,-0.2610533403388915,0.0005424006419661216,5.448773616555439,132.35813953488375
516,i01,i01_maze15_MS.002,4,1250,0,0,5604.566464791305,171.45788831248092,0.46123900455624794,0.43399902764996734,0.6243593112870669,10220,6554,1439.8568,0.037296805222190504,0.0025285487808960985,-0.03415625111296908,0.00568426640868272,0.0022504679733004454,0.8554602102877382,-0.10132004005008784,1.9989543353566478e-16,0.05213881763045646,2.410097996254932e-05,-0.15695776135653955,2.022698246809591e-37,5.604566464791305,137.16631064998475
517,i01,i01_maze15_MS.002,4,1250,0,1,6097.963789776164,169.86984126984126,0.4569996048309924,0.4368099779902413,0.11892071489331439,10220,1260,1439.8568,-0.044419965580336826,0.11503379900711883,-0.013157139035859052,0.6407941276708606,0.023195409805951077,0.4107077090099901,-0.1639633103654016,4.798771976143108e-09,0.024882246786010368,0.37751072423278675,-0.09842633064000002,0.00046732360792775627,6.0979637897761645,135.895873015873
518,i01,i01_maze15_MS.002,4,1250,0,2,5581.766034893252,173.100025947068,0.46288427929086934,0.44036730327605866,0.741326498579581,10220,7708,1439.8568,0.0376050612052263,0.0009593752287599573,-0.029887888667823593,0.008685932808521573,0.011023766391673859,0.3331910253854907,-0.08582429136147895,4.431173822086621e-14,0.03928770715925744,0.0005604925747526193,-0.15938551465786985,4.9619036983497126e-45,5.581766034893252,138.4800207576544
519,i01,i01_maze15_MS.002,4,1250,0,3,6334.553687070932,164.872,0.4667010766768898,0.44253124121544407,0.022901166282646997,10220,250,1439.8568,-0.2378956664906521,0.00014629892641108527,-0.007724317699745475,0.9032776469632698,0.003869264480745774,0.9514610912104606,-0.05773120829726211,0.3633531104598339,-0.09135352975551767,0.14981069078053402,-0.18141174247851172,0.004003140816750156,6.334553687070932,131.8976
520,i01,i01_maze15_MS.002,5,1250,0,0,5211.401799455977,171.1638888888889,0.43923834732227135,0.4449852319576361,0.6162519675589601,10218,6480,1439.8552,0.05277543920302295,2.1330961652350657e-05,-0.029208160431726422,0.018709976581503633,0.018339691202895747,0.13990202022663442,-0.0585640266613877,2.388158391696481e-06,0.05184966161186028,2.9691344599273366e-05,-0.1630608309793996,7.468355240249545e-40,5.211401799455977,136.9311111111111
521,i01,i01_maze15_MS.002,5,1250,0,1,5594.981513511715,169.27405857740587,0.4431440659032389,0.44342268485498815,0.1348685617831571,10218,1434,1439.8552,0.0013551122756556907,0.9591096346543404,-0.045668188202637114,0.083851048776704,0.026549863615055735,0.31504339894329203,-0.09384662068292794,0.00037289538902516244,0.025232841905005732,0.33965816789415426,-0.13786795771825386,1.5944518050611624e-07,5.594981513511715,135.4192468619247
522,i01,i01_maze15_MS.002,5,1250,0,2,5156.184482610098,172.8685175484547,0.44292788981185705,0.45170666911197066,0.7334204161640698,10218,7636,1439.8552,0.05991345010699718,1.6115264507755153e-07,-0.03034149752035344,0.008012464052978072,0.007774909840627888,0.4969456503941656,-0.04502983407451508,8.276515920313829e-05,0.043713120907201856,0.00013289142355667644,-0.16372619862559654,5.024936649056211e-47,5.156184482610098,138.29481403876375
